Active,Provider ID,Name,Country,Email Domain,Email Prefix
1,ACS-USA,Alaska Com. Systems,USA, msg.acsalaska.com,
1,ALKW-USA,Alaska Wireless,USA, sms.alaska-wireless.com,
1,AT-USA,Alltel,USA, message.alltel.com,
1,APPW-USA,Appalachian Wireless,USA, awsms.com,
1,ATTM-USA,ATT Mobile,USA, txt.att.net,
1,ATTW-USA,ATT Wireless,USA, mobile.att.net,
1,BS-USA,Bellsouth,USA, sms.bellsouth.com,
1,BC-USA,Bluegrass Cellular,USA, sms.bluecell.com,
1,BM-USA,Boost Mobile,USA, myboostmobile.com,
1,CWW-USA,Carolina West Wireless,USA, cwwsms.com,
1,CS-USA,Cellular South,USA, csouth1.com,
1,COW-USA,CellularOne West,USA, mycellone.com,
1,CB-USA,Cincinatti Bell,USA, gocbw.com,
1,CING-USA,Cingular,USA, cingularme.com,
1,CORR-USA,Corr Wireless,USA, corrwireless.net,
1,CRIC-USA,Cricket,USA, sms.mycricket.com,
1,EPCS-USA,EinsteinPCS,USA, einsteinsms.com,
1,IC-USA,Inland Cellular,USA, inlandlink.com,
1,MPCS-USA,MetroPCS,USA, mymetropcs.com,
1,MOV-SPN,Movistar,Spain, correo.movistar.net,
1,NEX-USA,Nextel,USA, messaging.nextel.com,
1,NTEL-USA,nTelos,USA, pcs.ntelos.com,
1,PAGE-CAN,Pagenet Canada,Canada, pagegate.pagenet.ca,
1,PION-CAN,Pioneer / Enid,USA, msg.pioneerenidcellular.com,
1,PGSM-POL,PlugGSM,Poland, text.plusgsm.pl,
1,PCO-USA,Price Communications,USA, mobilecell1se.com,
1,QCO-USA,Qualcomm,USA, pager.qualcomm.com,
1,QWE-USA,Qwest,USA, qwestmp.com,
1,ROG-USA,Rogers,USA, pcs.rogers.com,
1,SFR-FRA,SFR ,France, sfr.fr,
1,SPR-USA,Sprint,USA, messaging.sprintpcs.com,
1,SCOM-SUI,SwissCom,Switzerland, bluewin.ch,
1,TEL-NOR,Telenor,Norway, mobilpost.no,
1,TEL-DEN,Telia Denmark,Denmark, gsm1800.telia.dk,
1,TEL-USA,Telus Mobility,USA, msg.telus.com,
1,TMOB-GER,T-Mobile Germany,Germany, T-D1-SMS.de,
1,TMOB-USA,T-Mobile USA,USA, tmomail.net,
1,USC-USA,US cellular,USA, email.uscc.net,
1,VW-USA,Verizon Wireless,USA, vtext.com,
1,VM-CAN,Virgin Mobile Canada,Canada, vmobile.ca,
1,VM-USA,Virgin Mobile USA,USA, vmobl.com,
1,VMO-USA,VMobile,USA, vmobl.com,
1,O2-UK,O2,UK,mmail.co.uk,
1,BELL-CAN,Bell & Solo,Canada,txt.bell.ca,
1,ROG-CAN,Rogers,Canada,pcs.rogers.com,
1,FIDO-CAN,Fido,Canada,fido.ca,
1,TEL-CAN,Telus Mobility,Canada,msg.telus.com,
1,PCM-CAN,PC Mobile,Canada,mobiletxt.ca,
1,KOOD-CAN,Koodo Mobile,Canada,msg.koodomobile.com,
1,SAS-CAN,Sasktel,Canada,sms.sasktel.com,
1,SASM-CAN,Sasktel Mobility,Canada,pcs.sasktelmobility.com,
1,MTS-CAN,MTS AllStream/ Manitoba,Canada,text.mts.net,
1,TELE-LAT,Tele2,Latvia,sms.tele2.lv,
1,LMT-LAT,LMT,Latvia,sms.lmt.lv,
1,BIT-LAT,Bite,Latvia,biteplus.lv,
1,NEX-ARG,Nextel Argentina,Argentina,nextel.net.ar,TwoWay.11
1,ALE-PERS,Personal,Argentina,alertas.personal.com.ar,
1,VODA-SP,Vodafone Spain,Spain,vodafone.es,
